|zx |nx |zy |ny | f |no |CTRL|shi|Aor|        x         |        y         |       out        |zr |ng |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 1 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 0 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 1 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 0 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 1 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 1 | 0 | 1 | 0 | 1 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000000 | 1 | 0 |
| 1 | 1 | 1 | 1 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000001 | 0 | 0 |
| 1 | 1 | 1 | 0 | 1 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111111111 | 0 | 1 |
| 0 | 0 | 1 | 1 | 0 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000010001 | 0 | 0 |
| 1 | 1 | 0 | 0 | 0 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000011 | 0 | 0 |
| 0 | 0 | 1 | 1 | 0 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111101110 | 0 | 1 |
| 1 | 1 | 0 | 0 | 0 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111111100 | 0 | 1 |
| 0 | 0 | 1 | 1 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111101111 | 0 | 1 |
| 1 | 1 | 0 | 0 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111111101 | 0 | 1 |
| 0 | 1 | 1 | 1 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000010010 | 0 | 0 |
| 1 | 1 | 0 | 1 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000100 | 0 | 0 |
| 0 | 0 | 1 | 1 | 1 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000010000 | 0 | 0 |
| 1 | 1 | 0 | 0 | 1 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000010 | 0 | 0 |
| 0 | 0 | 0 | 0 | 1 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000010100 | 0 | 0 |
| 0 | 1 | 0 | 0 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000001110 | 0 | 0 |
| 0 | 0 | 0 | 1 | 1 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 1111111111110010 | 0 | 1 |
| 0 | 0 | 0 | 0 | 0 | 0 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000000001 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 1 | 0 | 0000000000010001 | 0000000000000011 | 0000000000010011 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 0 | 1 | 0000000000010001 | 0000000000000011 | 0000000000100010 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 1 | 1 | 0000000000010001 | 0000000000000011 | 0000000000001000 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 0 | 1 | 0000000000010001 | 0000000000000011 | 0000000000100010 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 1 | 1 | 0000000000010001 | 0000000000000011 | 1000000000001000 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 0 | 1 | 0000000000010001 | 0000000000000011 | 0000000000100010 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 1 | 1 | 0000000000010001 | 0000000000000011 | 0000000000001000 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 0 | 1 | 0000000000010001 | 0000000000000011 | 0000000000100010 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 1 | 1 | 0000000000010001 | 0000000000000011 | 0000000000100010 | 0 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 0 | 1 | 1001101010001010 | 1111111111111111 | 0011010100010100 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 1 | 1 | 1001101010001010 | 1111111111111111 | 1100110101000101 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 0 | 1 | 1001101010001010 | 1111111111111111 | 0011010100010101 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 1 | 1 | 1001101010001010 | 1111111111111111 | 0100110101000101 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 0 | 1 | 1001101010001010 | 1111111111111111 | 0011010100010100 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 10 | 1 | 1 | 1001101010001010 | 1111111111111111 | 0100110101000101 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 0 | 1 | 1001101010001010 | 1111111111111111 | 1100110101000101 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 11 | 1 | 1 | 1001101010001010 | 1111111111111111 | 1100110101000101 | 0 | 1 |
